                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                0.57339,                 1.0863,                 0.9731,                0.78105,                    0.8,                0.85717,                0.74271,                 0.7025,                 1.5316,                  1.041,              0.0015512,              0.0015512,              0.0015512
                     36,                0.57701,                 1.1335,                0.94588,                0.77742,                    0.9,                0.87843,                0.70935,                0.73918,                 1.4655,                 1.0966,               0.001538,               0.001538,               0.001538
                     37,                0.63333,                 1.1453,                0.98753,                0.81384,                   0.95,                 0.9378,                0.78649,                0.67478,                 1.1752,                 1.0824,              0.0015248,              0.0015248,              0.0015248
                     38,                0.58918,                 1.0743,                0.97159,                 0.9369,                    0.9,                  0.918,                0.77558,                0.64515,                 1.0288,                0.99819,              0.0015116,              0.0015116,              0.0015116
                     39,                0.56288,                 1.1133,                0.98399,                0.94746,                   0.95,                0.94221,                 0.8114,                0.67458,                 1.0249,                 1.0394,              0.0014984,              0.0014984,              0.0014984
                     40,                0.57873,                0.94056,                0.97298,                0.99348,                      1,                  0.995,                0.78426,                0.75028,                 1.1444,                 1.1009,              0.0014852,              0.0014852,              0.0014852
                     41,                 0.6204,                 1.2882,                0.89948,                0.94225,                   0.95,                0.94392,                0.78526,                 0.7974,                 1.2413,                 1.1534,               0.001472,               0.001472,               0.001472
                     42,                0.60793,                0.97209,                0.95909,                0.99663,                   0.95,                0.94879,                0.75727,                0.77197,                 1.0662,                 1.1046,              0.0014588,              0.0014588,              0.0014588
                     43,                0.54605,                 1.0198,                  1.001,                0.98792,                   0.95,                0.94821,                0.78249,                0.73623,                 1.3492,                 1.1116,              0.0014456,              0.0014456,              0.0014456
                     44,                 0.5238,                 1.0261,                0.98582,                0.75973,                    0.9,                0.88651,                0.73978,                0.72093,                 2.1278,                 1.0794,              0.0014324,              0.0014324,              0.0014324
                     45,                0.52274,                 1.0826,                0.90977,                0.59527,                    0.8,                 0.7317,                0.61932,                  0.721,                 2.3397,                 1.0648,              0.0014192,              0.0014192,              0.0014192
                     46,                0.52381,                 1.0149,                0.90871,                0.62634,                   0.85,                0.74187,                0.61682,                0.70084,                 2.4125,                 1.0317,               0.001406,               0.001406,               0.001406
                     47,                0.46955,                0.90084,                0.88557,                0.96789,                    0.8,                0.93166,                0.78883,                0.65166,                 1.2529,                0.96969,              0.0013928,              0.0013928,              0.0013928
                     48,                0.50941,                0.95095,                0.92702,                0.99779,                    0.9,                0.95169,                0.79553,                0.67556,                 1.1214,                0.97536,              0.0013796,              0.0013796,              0.0013796
                     49,                0.46389,                0.94368,                0.94469,                0.99397,                    0.9,                0.93742,                0.75071,                0.71652,                 1.1716,                 1.0272,              0.0013664,              0.0013664,              0.0013664
                     50,                 0.4558,                0.93818,                 0.8683,                 0.9963,                    0.9,                0.93734,                0.76674,                0.73655,                0.90518,                 1.0558,              0.0013532,              0.0013532,              0.0013532
                     51,                0.48389,                 1.1174,                0.83723,                0.99571,                    0.9,                0.93737,                 0.7917,                0.67622,                0.86423,                 1.0446,                0.00134,                0.00134,                0.00134
                     52,                0.47097,                0.96665,                0.88033,                      1,                0.79245,                0.95394,                0.80795,                0.62751,                 1.1607,                 1.0064,              0.0013268,              0.0013268,              0.0013268
                     53,                0.43807,                0.89607,                0.89893,                0.63968,                      1,                 0.8988,                0.76153,                 0.6288,                 1.7951,                 0.9884,              0.0013136,              0.0013136,              0.0013136
                     54,                 0.4709,                0.80271,                 0.9501,                      1,                 0.9353,                0.98667,                0.81848,                0.67286,                 1.4658,                  1.006,              0.0013004,              0.0013004,              0.0013004
                     55,                0.46344,                0.79744,                0.91002,                0.99853,                   0.95,                0.99045,                0.80783,                0.73203,                  1.233,                 1.0781,              0.0012872,              0.0012872,              0.0012872
                     56,                0.47706,                0.85259,                0.90422,                      1,                0.94688,                0.99045,                0.77597,                 0.7178,                 1.0251,                 1.1977,               0.001274,               0.001274,               0.001274
                     57,                0.47319,                0.70493,                 0.9139,                      1,                0.94539,                0.96583,                 0.7731,                 0.7558,                  1.019,                 1.2831,              0.0012608,              0.0012608,              0.0012608
                     58,                0.46729,                0.82901,                0.88932,                0.99269,                   0.95,                0.96939,                0.78612,                0.70618,                 1.0838,                 1.1745,              0.0012476,              0.0012476,              0.0012476
                     59,                0.50655,                0.93388,                0.85549,                0.93965,                    0.9,                0.91331,                0.76022,                0.71819,                 1.1354,                 1.1126,              0.0012344,              0.0012344,              0.0012344
                     60,                 0.4662,                0.96787,                0.85443,                0.94792,                   0.95,                0.93841,                0.75531,                0.71679,                0.96966,                  1.081,              0.0012212,              0.0012212,              0.0012212
                     61,                0.44528,                0.74756,                0.90985,                      1,                0.99518,                  0.995,                0.79727,                0.71955,                0.82256,                 1.0506,               0.001208,               0.001208,               0.001208
                     62,                0.47962,                0.83442,                0.89345,                0.98531,                      1,                  0.995,                0.82635,                0.66799,                0.93569,                 1.0476,              0.0011948,              0.0011948,              0.0011948
                     63,                0.43578,                0.81589,                0.86344,                0.90657,                0.97092,                0.98328,                 0.8379,                0.59039,                0.97548,                0.99643,              0.0011816,              0.0011816,              0.0011816
                     64,                0.45036,                0.67825,                0.88815,                0.75271,                   0.95,                0.91856,                0.82095,                0.57501,                 1.0651,                0.99064,              0.0011684,              0.0011684,              0.0011684
                     65,                 0.4245,                0.78014,                0.84222,                0.58678,                      1,                0.77981,                0.69712,                0.59459,                 1.3058,                 1.0135,              0.0011552,              0.0011552,              0.0011552
                     66,                0.42817,                0.77916,                0.86387,                0.64314,                0.99146,                0.84439,                0.76337,                0.60621,                 1.1025,                 1.0715,               0.001142,               0.001142,               0.001142
