                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.4662,                 1.6742,                 1.5274,                0.74804,                   0.75,                0.79361,                0.49157,                 1.6697,                 1.5936,                 1.7239,             0.00010002,             0.00010002,             0.00010002
                      1,                 1.9392,                 1.8123,                 1.8218,                0.64679,                0.92547,                0.84917,                0.51485,                 1.8715,                 1.7928,                 1.9502,              0.0002161,              0.0002161,              0.0002161
                      2,                 1.5681,                 1.3822,                 1.3893,                0.64679,                0.92547,                0.84917,                0.51485,                 1.8715,                 1.7928,                 1.9502,             0.00033151,             0.00033151,             0.00033151
                      3,                 2.1799,                 1.9688,                 1.8046,                0.72294,                      1,                  0.945,                0.46032,                 1.9331,                 1.4381,                 1.5975,             0.00044627,             0.00044627,             0.00044627
                      4,                 1.6461,                 1.5443,                  1.487,                0.72294,                      1,                  0.945,                0.46032,                 1.9331,                 1.4381,                 1.5975,             0.00056037,             0.00056037,             0.00056037
                      5,                 1.2863,                 1.6284,                  1.225,                0.72294,                      1,                  0.945,                0.46032,                 1.9331,                 1.4381,                 1.5975,              0.0006738,              0.0006738,              0.0006738
                      6,                 1.6413,                 1.6069,                  1.597,                0.72294,                      1,                  0.945,                0.46032,                 1.9331,                 1.4381,                 1.5975,             0.00078658,             0.00078658,             0.00078658
                      7,                 1.5407,                 1.9575,                 1.4539,                0.72294,                      1,                  0.945,                0.46032,                 1.9331,                 1.4381,                 1.5975,              0.0008987,              0.0008987,              0.0008987
                      8,                 1.2728,                 1.3365,                 1.1793,                0.63991,                   0.75,                0.68667,                0.34489,                 1.5474,                 2.3523,                 1.2733,              0.0010102,              0.0010102,              0.0010102
                      9,                 2.0044,                 2.7078,                 1.7451,                0.63991,                   0.75,                0.68667,                0.34489,                 1.5474,                 2.3523,                 1.2733,              0.0011209,              0.0011209,              0.0011209
                     10,                 1.7852,                 3.1343,                 1.5341,                0.63991,                   0.75,                0.68667,                0.34489,                 1.5474,                 2.3523,                 1.2733,              0.0012311,              0.0012311,              0.0012311
                     11,                 1.7578,                 3.4258,                 1.5072,                0.63991,                   0.75,                0.68667,                0.34489,                 1.5474,                 2.3523,                 1.2733,              0.0013406,              0.0013406,              0.0013406
                     12,                 1.4244,                 1.8878,                 1.2799,                0.63991,                   0.75,                0.68667,                0.34489,                 1.5474,                 2.3523,                 1.2733,              0.0014494,              0.0014494,              0.0014494
                     13,                 1.0392,                 3.4301,                0.99974,                0.63991,                   0.75,                0.68667,                0.34489,                 1.5474,                 2.3523,                 1.2733,              0.0015575,              0.0015575,              0.0015575
                     14,                 1.7625,                 1.9442,                 1.4066,                0.63991,                   0.75,                0.68667,                0.34489,                 1.5474,                 2.3523,                 1.2733,               0.001601,               0.001601,               0.001601
                     15,                 1.6768,                  3.163,                 1.4259,                0.63991,                   0.75,                0.68667,                0.34489,                 1.5474,                 2.3523,                 1.2733,               0.001601,               0.001601,               0.001601
                     16,                 1.6163,                  2.242,                 1.5966,                0.63991,                   0.75,                0.68667,                0.34489,                 1.5474,                 2.3523,                 1.2733,              0.0015963,              0.0015963,              0.0015963
                     17,                 1.5186,                 1.8267,                 1.4186,                0.85059,                    0.5,                0.53964,                0.36624,                 1.3068,                 2.0538,                  1.243,              0.0015916,              0.0015916,              0.0015916
                     18,                 2.2677,                 2.5444,                 1.8992,                0.85059,                    0.5,                0.53964,                0.36624,                 1.3068,                 2.0538,                  1.243,              0.0015868,              0.0015868,              0.0015868
                     19,                 2.1674,                 3.0059,                 1.9842,                0.85059,                    0.5,                0.53964,                0.36624,                 1.3068,                 2.0538,                  1.243,              0.0015821,              0.0015821,              0.0015821
                     20,                 1.8489,                 2.1368,                  1.809,                0.85059,                    0.5,                0.53964,                0.36624,                 1.3068,                 2.0538,                  1.243,              0.0015774,              0.0015774,              0.0015774
                     21,                 1.6909,                 2.5466,                 1.5563,                0.85059,                    0.5,                0.53964,                0.36624,                 1.3068,                 2.0538,                  1.243,              0.0015727,              0.0015727,              0.0015727
                     22,                 1.7635,                  2.705,                 1.6309,                0.85059,                    0.5,                0.53964,                0.36624,                 1.3068,                 2.0538,                  1.243,               0.001568,               0.001568,               0.001568
                     23,                 2.0654,                 2.4602,                 1.6782,                0.85059,                    0.5,                0.53964,                0.36624,                 1.3068,                 2.0538,                  1.243,              0.0015633,              0.0015633,              0.0015633
                     24,                 1.5375,                 2.1625,                 1.4097,                0.85059,                    0.5,                0.53964,                0.36624,                 1.3068,                 2.0538,                  1.243,              0.0015585,              0.0015585,              0.0015585
                     25,                  1.624,                 2.3186,                 1.5399,                0.85059,                    0.5,                0.53964,                0.36624,                 1.3068,                 2.0538,                  1.243,              0.0015538,              0.0015538,              0.0015538
                     26,                 1.5558,                 1.9287,                  1.406,                0.98251,                   0.75,                0.77132,                0.45963,                  1.715,                 1.4712,                 1.6341,              0.0015491,              0.0015491,              0.0015491
                     27,                 1.9146,                 2.2286,                 1.6965,                0.98251,                   0.75,                0.77132,                0.45963,                  1.715,                 1.4712,                 1.6341,              0.0015444,              0.0015444,              0.0015444
                     28,                 1.4355,                  1.705,                 1.3783,                0.98251,                   0.75,                0.77132,                0.45963,                  1.715,                 1.4712,                 1.6341,              0.0015397,              0.0015397,              0.0015397
                     29,                 2.1189,                 2.0324,                 1.8395,                0.98251,                   0.75,                0.77132,                0.45963,                  1.715,                 1.4712,                 1.6341,               0.001535,               0.001535,               0.001535
                     30,                 1.6593,                  2.396,                  1.527,                0.98251,                   0.75,                0.77132,                0.45963,                  1.715,                 1.4712,                 1.6341,              0.0015303,              0.0015303,              0.0015303
                     31,                 1.8509,                  2.119,                 1.6366,                0.98251,                   0.75,                0.77132,                0.45963,                  1.715,                 1.4712,                 1.6341,              0.0015255,              0.0015255,              0.0015255
                     32,                  1.938,                 1.8772,                 1.6935,                0.98251,                   0.75,                0.77132,                0.45963,                  1.715,                 1.4712,                 1.6341,              0.0015208,              0.0015208,              0.0015208
                     33,                 1.8071,                 2.2495,                 1.6244,                0.98251,                   0.75,                0.77132,                0.45963,                  1.715,                 1.4712,                 1.6341,              0.0015161,              0.0015161,              0.0015161
                     34,                 1.7345,                 2.2626,                 1.4354,                0.98251,                   0.75,                0.77132,                0.45963,                  1.715,                 1.4712,                 1.6341,              0.0015114,              0.0015114,              0.0015114
                     35,                 1.8315,                 2.0173,                 1.5947,                  0.472,                    0.5,                0.48458,                 0.3123,                 1.7451,                  2.419,                 1.6515,              0.0015067,              0.0015067,              0.0015067
                     36,                 1.7571,                 1.8353,                 1.6874,                  0.472,                    0.5,                0.48458,                 0.3123,                 1.7451,                  2.419,                 1.6515,               0.001502,               0.001502,               0.001502
                     37,                 1.6796,                  1.778,                 1.5906,                  0.472,                    0.5,                0.48458,                 0.3123,                 1.7451,                  2.419,                 1.6515,              0.0014973,              0.0014973,              0.0014973
                     38,                 1.5978,                 1.7102,                 1.5493,                  0.472,                    0.5,                0.48458,                 0.3123,                 1.7451,                  2.419,                 1.6515,              0.0014925,              0.0014925,              0.0014925
                     39,                  1.644,                 1.7334,                 1.6227,                  0.472,                    0.5,                0.48458,                 0.3123,                 1.7451,                  2.419,                 1.6515,              0.0014878,              0.0014878,              0.0014878
                     40,                 1.7613,                 1.6149,                 1.6623,                  0.472,                    0.5,                0.48458,                 0.3123,                 1.7451,                  2.419,                 1.6515,              0.0014831,              0.0014831,              0.0014831
                     41,                 1.1891,                 1.3628,                 1.2897,                  0.472,                    0.5,                0.48458,                 0.3123,                 1.7451,                  2.419,                 1.6515,              0.0014784,              0.0014784,              0.0014784
                     42,                  1.973,                 1.9362,                 1.9151,                  0.472,                    0.5,                0.48458,                 0.3123,                 1.7451,                  2.419,                 1.6515,              0.0014737,              0.0014737,              0.0014737
                     43,                  1.541,                 1.5474,                 1.5675,                  0.472,                    0.5,                0.48458,                 0.3123,                 1.7451,                  2.419,                 1.6515,               0.001469,               0.001469,               0.001469
                     44,                 1.8023,                 2.0177,                 1.6926,                  0.472,                    0.5,                0.48458,                 0.3123,                 1.7451,                  2.419,                 1.6515,              0.0014642,              0.0014642,              0.0014642
                     45,                 1.5669,                 1.8918,                 1.5412,                0.32371,                    0.5,                0.45596,                0.32847,                 1.7522,                 2.9334,                 1.6599,              0.0014595,              0.0014595,              0.0014595
                     46,                 1.6642,                 1.7531,                 1.6752,                0.32371,                    0.5,                0.45596,                0.32847,                 1.7522,                 2.9334,                 1.6599,              0.0014548,              0.0014548,              0.0014548
                     47,                 1.8608,                 1.7957,                  1.607,                0.32371,                    0.5,                0.45596,                0.32847,                 1.7522,                 2.9334,                 1.6599,              0.0014501,              0.0014501,              0.0014501
                     48,                 1.7731,                 2.1492,                 1.5844,                0.32371,                    0.5,                0.45596,                0.32847,                 1.7522,                 2.9334,                 1.6599,              0.0014454,              0.0014454,              0.0014454
                     49,                 1.7419,                 1.8291,                 1.6159,                0.32371,                    0.5,                0.45596,                0.32847,                 1.7522,                 2.9334,                 1.6599,              0.0014407,              0.0014407,              0.0014407
                     50,                 1.4449,                 1.8219,                 1.3705,                0.32371,                    0.5,                0.45596,                0.32847,                 1.7522,                 2.9334,                 1.6599,               0.001436,               0.001436,               0.001436
                     51,                 1.4237,                 2.0754,                 1.3591,                0.32371,                    0.5,                0.45596,                0.32847,                 1.7522,                 2.9334,                 1.6599,              0.0014312,              0.0014312,              0.0014312
                     52,                 1.3735,                 1.7332,                 1.3089,                0.32371,                    0.5,                0.45596,                0.32847,                 1.7522,                 2.9334,                 1.6599,              0.0014265,              0.0014265,              0.0014265
