                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.6854,                 3.6267,                 1.7087,                0.01794,                      1,                0.17974,                0.05562,                 1.7875,                 3.5829,                 1.6352,             0.00010002,             0.00010002,             0.00010002
                      1,                  1.775,                 3.3214,                 1.8314,                0.62635,                0.43953,                0.35663,                0.14145,                 1.4991,                 3.3253,                 1.5167,             0.00021599,             0.00021599,             0.00021599
                      2,                  1.222,                 2.9501,                 1.3498,                0.62635,                0.43953,                0.35663,                0.14145,                 1.4991,                 3.3253,                 1.5167,              0.0003312,              0.0003312,              0.0003312
                      3,                 1.4142,                  2.546,                 1.4403,                0.54109,                   0.75,                0.58548,                0.21848,                 1.5565,                  2.451,                 1.4818,             0.00044563,             0.00044563,             0.00044563
                      4,                 1.1769,                 2.3472,                  1.378,                0.54109,                   0.75,                0.58548,                0.21848,                 1.5565,                  2.451,                 1.4818,              0.0005593,              0.0005593,              0.0005593
                      5,                 1.0324,                 2.1594,                 1.2624,                0.54109,                   0.75,                0.58548,                0.21848,                 1.5565,                  2.451,                 1.4818,             0.00067219,             0.00067219,             0.00067219
                      6,                 1.2755,                 2.3995,                 1.3816,                0.54109,                   0.75,                0.58548,                0.21848,                 1.5565,                  2.451,                 1.4818,             0.00078432,             0.00078432,             0.00078432
                      7,                 1.7901,                 2.7114,                 1.7841,                0.54109,                   0.75,                0.58548,                0.21848,                 1.5565,                  2.451,                 1.4818,             0.00089567,             0.00089567,             0.00089567
                      8,                 1.3805,                 2.6224,                 1.2951,                0.29092,                   0.75,                0.40258,                0.25316,                 1.9398,                 7.9466,                 1.5399,              0.0010063,              0.0010063,              0.0010063
                      9,                 1.4245,                  4.531,                 1.3971,                0.29092,                   0.75,                0.40258,                0.25316,                 1.9398,                 7.9466,                 1.5399,              0.0011161,              0.0011161,              0.0011161
                     10,                 1.5572,                 5.8272,                 1.4848,                0.29092,                   0.75,                0.40258,                0.25316,                 1.9398,                 7.9466,                 1.5399,              0.0012251,              0.0012251,              0.0012251
                     11,                 1.4439,                 7.4952,                 1.3657,                0.29092,                   0.75,                0.40258,                0.25316,                 1.9398,                 7.9466,                 1.5399,              0.0013334,              0.0013334,              0.0013334
                     12,                 1.5245,                 5.8557,                 1.4474,                0.29092,                   0.75,                0.40258,                0.25316,                 1.9398,                 7.9466,                 1.5399,              0.0014409,              0.0014409,              0.0014409
                     13,                 1.1006,                 13.293,                 1.1196,                0.29092,                   0.75,                0.40258,                0.25316,                 1.9398,                 7.9466,                 1.5399,              0.0015476,              0.0015476,              0.0015476
                     14,                  1.116,                 3.2428,                 1.2632,                0.29092,                   0.75,                0.40258,                0.25316,                 1.9398,                 7.9466,                 1.5399,                0.00159,                0.00159,                0.00159
